brand,model_year,milage,transmission_num,price
8,2019,47300,6,32500
3,2013,63460,6,16000
35,2012,83500,6,29995
52,2014,120000,6,16800
35,2009,21500,7,18000
3,2017,66000,6,34000
26,2007,122348,6,12900
10,2012,177600,6,16800
10,2006,148000,5,19550
3,2011,92500,8,11900
10,2001,110000,4,6000
3,2014,59700,8,22500
14,2022,7000,10,149000
18,2018,20200,6,32750
42,2018,68000,8,42500
25,2016,70582,8,19500
53,2018,49000,6,34500
52,2013,168422,6,15999
43,2014,93700,8,13750
33,2020,73091,6,41000
38,2015,157500,6,3500
4,2015,85766,6,13000
35,2011,95400,7,41500
3,2015,98400,8,11900
10,2004,89700,6,12999
49,2015,69350,6,23000
4,2017,59300,8,6750
42,2017,20000,7,79900
8,2004,37622,4,14500
38,2009,87130,6,35000
8,2023,5200,8,69999
4,2011,165000,6,4000
19,2016,100000,6,21000
4,2006,65800,7,60200
8,2015,76309,6,18995
4,2015,86000,8,24000
35,2020,23600,9,47350
13,2004,134000,5,5500
12,2008,116300,6,80300
35,2023,2000,9,54000
25,2017,99915,8,4399
26,2014,103000,8,22550
43,2021,12998,8,83500
0,2023,2108,10,35999
8,2018,27224,8,44950
31,2017,8984,8,417500
35,2021,19162,9,31000
35,2015,57550,7,17995
13,2022,16500,8,68500
35,2020,18500,9,78000
7,2006,153750,6,10995
4,2015,73500,8,26500
26,2007,142792,6,11500
26,2018,65750,6,30775
4,2019,69750,6,35999
17,2003,100331,5,12000
13,2022,8400,10,73000
4,2012,26000,8,38000
38,2012,90000,6,17000
35,2022,1877,9,99999
13,2022,23600,10,200000
20,2007,73000,5,20000
26,2022,16425,6,44990
8,2019,44800,6,19395
14,2016,55403,6,29995
53,2017,59300,6,20900
5,2021,16500,8,27750
25,2023,3490,8,75500
8,2016,35000,6,17000
14,2021,23400,10,58000
26,2012,162000,8,30000
26,2010,125559,6,17995
8,2017,50000,6,21000
4,2015,125000,8,18900
13,2017,65000,6,50000
54,2022,37000,6,35500
24,2016,2950,7,44500
35,2014,125500,7,8450
16,2012,95000,5,12000
3,2017,37700,7,31000
27,2014,104000,6,24000
52,2022,19800,6,124999
20,2019,41500,8,99750
13,2015,105000,6,21000
3,2016,42400,8,22000
3,2018,39000,8,47999
49,2018,65750,6,22500
26,2022,12940,10,80900
35,2017,53000,9,25000
14,2011,162000,6,12250
38,2016,71273,7,18950
25,2016,116500,6,28500
3,2009,125519,6,9999
4,2015,88900,8,35000
42,2020,2250,8,71900
25,2015,126000,8,7500
35,2021,23600,9,74900
4,2020,4786,6,54500
3,2013,119000,8,16000
21,2018,78717,6,17500
15,2022,4786,8,51900
26,2006,106500,6,14900
4,2023,5338,6,84500
30,2016,68871,6,29995
52,2007,162000,5,12900
13,2021,30000,10,68000
8,2004,75500,6,15000
8,2020,29500,6,38500
13,2010,105500,6,13000
52,2006,110022,6,5700
16,2009,132000,5,10999
25,2016,65680,8,33333
35,2019,17500,7,86900
25,2012,167000,6,8000
25,2020,65680,8,44500
4,2007,126000,6,14900
26,2019,5020,8,36000
35,2016,55600,6,76740
13,2017,51000,6,20000
4,2017,41000,6,64990
4,2020,28000,7,59500
14,2020,16700,10,35000
42,2022,7346,6,73600
4,2009,77945,6,11500
7,2023,5500,6,60995
18,2011,117292,6,12995
3,2015,70500,8,22000
35,2011,57918,7,10000
35,2011,53900,6,10900
34,2021,14684,7,99999
25,2018,55018,8,28999
33,2016,61778,6,21500
4,2014,46000,6,42500
4,2018,30700,6,55999
38,2012,98450,6,22000
14,2015,53000,6,21990
52,2015,25756,8,48999
25,2017,65019,8,15000
33,2017,62500,6,42000
8,2017,161000,6,23000
19,2018,61000,8,29000
3,2017,34000,8,64000
35,2018,57550,8,39950
16,2014,41680,6,10500
3,2022,14676,7,99000
4,2011,1185,6,20000
20,2019,25470,6,34500
13,2009,170000,6,15750
25,2016,112000,8,22000
25,2022,4100,9,75000
8,2017,92800,6,8500
52,2023,2165,6,77900
26,2014,89726,6,18995
49,2013,107000,5,11495
42,2011,69764,6,22500
42,2014,54000,8,31000
7,2021,11806,10,28900
13,2018,68749,6,18000
49,2013,120600,5,9500
26,2018,23230,10,45950
13,2011,80000,6,15900
5,2012,50000,8,26500
35,2019,72784,9,42950
8,2018,49500,6,80000
35,2015,36670,6,11995
13,2019,16000,10,31700
53,2010,49500,6,6000
13,2019,33000,6,48000
35,2017,45979,8,22989
0,2019,6550,6,30900
4,2015,118500,8,17000
27,2018,58000,10,41000
13,2019,45979,6,46995
13,2023,1563,10,94500
13,2017,71400,6,18200
4,2020,16900,8,37000
42,2006,103000,6,12000
13,2022,18160,10,67500
8,2021,1900,8,48990
26,2019,19400,6,42000
13,2024,61500,10,81500
13,2008,153818,6,17900
25,2019,69000,8,40000
7,2021,18200,10,41900
19,2015,70312,6,19999
24,2018,23600,6,78000
26,2021,20500,8,54000
13,2020,41000,8,35500
8,2002,157500,5,19000
25,2019,50780,8,34900
26,1999,120000,4,9995
25,2017,49799,6,47500
27,2017,72500,6,22500
5,2020,28220,8,64500
13,2019,27000,6,48500
13,2021,48000,10,41000
43,2019,52673,8,23800
13,2014,161000,6,29500
23,2011,51300,6,17500
8,2022,13750,10,52999
26,2013,121250,6,17800
13,2021,10500,6,69999
35,2014,53500,7,24900
49,2017,78007,6,23000
13,2021,26000,10,90000
16,2017,57690,6,18000
3,2014,51300,7,25990
26,2003,130000,5,5000
4,2020,41906,8,50000
52,2005,186117,6,5200
42,2016,134000,6,13500
52,2021,19200,8,23000
13,2005,163431,6,16000
25,2015,153250,8,6600
3,2013,69600,6,24900
8,2013,148700,6,18500
19,2013,70000,7,15750
4,2016,67900,8,19470
19,2015,143250,6,36950
4,2011,54000,6,35000
25,2015,84000,9,30000
25,2014,50000,6,11000
8,2021,49000,9,46000
25,2017,47200,9,17899
8,2015,26000,8,47500
25,2023,11700,8,116999
21,2008,107000,4,14000
4,2018,41906,8,49999
13,2018,68000,6,23400
8,2022,13650,7,39999
4,2023,9000,9,99999
8,2017,92000,6,17500
8,2005,93500,6,13999
4,2013,87130,6,20000
25,2015,15600,6,85500
26,2013,71669,6,19950
13,2010,160000,5,6500
20,2017,36000,8,36000
35,2017,130000,9,29500
42,2013,67000,7,27200
52,2017,91000,6,234000
4,2009,135000,6,15000
8,2021,14500,10,68750
13,2018,67500,10,26500
13,2005,187883,4,4995
16,1999,103000,6,11500
17,2006,133598,4,21998
20,2018,56842,8,26000
52,1996,170000,4,8500
13,2001,130000,6,9000
13,2005,161900,4,5700
4,2016,65800,6,37500
13,2022,36000,10,76373
43,2016,38718,8,26000
8,2005,14000,4,45000
25,2016,59203,6,11499
30,2015,71000,6,13500
25,2019,55000,8,24000
35,2014,120000,7,8900
42,2015,64800,6,115999
8,2017,64000,6,25500
8,2017,22000,6,55000
26,2010,121886,6,25000
52,2002,120000,6,3000
13,2016,117000,6,19500
0,2008,148949,6,17900
8,2008,85760,6,12900
4,2014,28333,7,44000
10,2021,32000,8,27500
16,2008,190640,4,10500
8,2020,49500,8,44400
38,2007,130307,6,4750
4,2012,199400,6,11000
3,2012,108000,6,12000
3,2021,5409,8,80900
38,2017,45843,6,45999
35,2017,41500,8,44900
35,2011,77800,7,99000
52,2022,9000,10,44900
52,2022,6188,8,41900
42,2005,65000,6,19500
3,2008,64500,6,41400
35,2017,63000,7,65000
23,2015,100730,6,15998
4,2004,149437,5,7900
52,2018,68871,6,29990
26,2018,77300,6,30000
35,2014,74500,7,15500
54,2020,41000,8,57000
52,2011,199296,6,9999
26,2015,131000,6,8750
14,2017,25000,8,50000
8,2018,52500,6,34000
8,2020,91420,8,10200
43,2021,32000,8,45515
8,2009,67500,6,14900
4,2022,12900,8,85500
13,2018,70000,6,24500
42,2015,1500,8,64000
4,2013,129999,6,10500
14,2014,71000,6,17500
7,2016,116500,8,32999
21,2018,27981,8,31900
4,2016,111000,8,12000
48,2007,189500,5,8300
13,2006,149460,6,14900
3,2017,70500,8,26500
38,2016,51000,5,28500
8,2017,59715,8,31000
16,2012,149000,5,7000
43,2010,124700,6,4200
13,2022,10500,8,76000
13,2018,75151,10,28750
42,2008,49700,6,234000
42,2016,98700,7,18987
35,2021,6900,9,63000
35,2014,58375,7,23500
25,2016,95212,8,21000
8,2017,95428,6,32000
42,2014,82978,8,26999
35,2008,98528,7,9500
33,2021,39000,6,51500
26,2008,88900,8,22000
8,2018,13500,6,65000
7,2018,67073,10,34955
13,2015,87500,6,20850
23,2013,86204,6,18500
27,2016,100000,6,18999
21,2021,66000,8,42500
25,2016,43000,6,24500
4,2018,36000,7,38500
8,2023,5500,8,47500
14,2015,125559,6,17500
19,2017,70700,7,28500
13,2021,28000,10,42500
8,2017,92728,6,57000
19,2011,120321,5,4995
10,2021,53000,6,50000
21,2022,4900,8,226000
35,1999,153000,6,3550
35,2017,67100,7,46900
8,2020,10500,8,67900
7,2018,114500,10,67995
4,2020,2800,7,54000
13,2018,92671,6,51500
0,2020,56946,10,46999
7,2016,119950,6,14000
33,2019,60800,6,17000
24,2019,22000,7,74900
8,2023,10000,8,93500
25,2020,35650,9,184606
25,2018,63400,6,29950
13,2021,14900,10,75000
13,2017,94634,6,54500
7,2022,28500,8,84900
13,2005,74414,5,7995
4,2017,82300,7,35750
20,2019,5500,8,139500
52,2023,3158,6,63500
13,2012,87853,6,26600
35,2014,76753,7,11900
5,2022,1500,8,151900
8,2005,146000,4,7000
8,2008,27300,6,64600
4,2016,74000,8,18000
19,2015,127980,7,22999
35,2017,49000,9,32900
4,2017,67000,6,49700
4,2017,86101,8,34500
13,2016,66281,6,21000
31,2015,800,6,12000
13,2018,119000,4,17800
13,2021,4500,10,82000
14,2016,142792,6,12500
16,2011,185000,6,9900
13,2014,92000,6,30500
35,2018,39800,9,72000
3,2020,82300,8,35500
4,2018,41000,7,38000
42,2015,13500,7,40000
4,2023,2950,6,84999
21,2022,12209,8,28000
8,2022,200,8,138999
0,2023,5400,10,84645
10,2017,73948,8,26500
13,2014,49688,6,35500
13,2020,28000,10,39500
8,2002,107000,4,8995
52,2020,41500,6,32500
13,2014,65000,6,53999
13,2008,132000,5,10200
13,2020,10400,10,60000
4,2014,60100,7,85000
21,2000,102000,5,3500
21,2020,21000,8,58000
26,2020,22466,6,44900
52,2016,86000,5,35000
21,2018,51000,8,38000
4,2015,90000,8,16900
42,2021,18494,8,24999
16,2010,86121,6,17900
13,2010,224000,4,6500
25,2016,82260,8,22000
18,2015,36000,7,33950
7,2018,69423,10,27000
26,2018,77400,8,34900
13,2018,62950,10,25215
26,2017,106000,6,28450
25,2018,13100,6,58000
8,2018,19200,6,38880
7,2018,12985,6,85000
15,2022,10500,8,69000
35,2018,28000,8,45000
21,2022,1500,8,425000
21,2012,40000,5,28500
52,2021,15500,6,38900
8,2018,36000,6,49000
35,2016,20500,7,62500
27,2016,127980,6,15750
35,2011,90000,7,15000
26,2013,54423,6,44800
3,2021,1750,6,73000
8,2000,40000,4,4200
38,2019,12454,6,74500
4,2008,64500,5,10000
26,2010,62200,5,21500
31,2023,2200,8,75000
13,2007,152000,6,12000
0,2013,119000,6,7000
13,2013,107481,6,10500
26,2013,56837,6,20900
13,2008,148000,6,9900
8,2016,109330,6,27499
8,2020,41500,9,417500
26,2010,115000,6,6699
4,2018,28000,6,72567
25,2017,42750,8,35999
19,2022,4786,7,65000
4,2014,74500,7,20000
53,2016,67874,9,14000
19,2018,49700,7,34900
35,2015,68749,7,17900
13,2018,64000,10,29500
13,2020,33000,6,49990
13,2015,162750,6,22500
34,2020,16850,8,37999
21,2021,24900,8,35000
14,2019,76000,6,42500
35,2016,167500,7,35999
35,2013,59271,7,28000
21,2008,111000,4,10000
0,2011,68870,4,18000
14,2021,51338,10,49900
25,2023,2200,8,48000
8,2018,56578,6,35500
13,2016,81000,6,18500
7,2019,53433,8,39900
8,2018,46628,6,62425
52,2018,37100,6,33000
13,2018,54000,6,27000
27,2016,69700,6,15500
21,2003,95200,5,12490
42,2018,4786,6,65700
13,2017,153000,6,17000
3,2014,119850,6,18500
13,2018,82300,6,19000
4,2012,118500,7,15000
35,2020,48000,9,35300
43,2020,53000,8,49500
21,2021,71097,6,15000
52,2016,81000,6,20500
18,2016,80300,8,28500
35,2012,67800,7,15900
13,2016,98413,6,45999
13,2011,150000,6,14900
52,2013,16000,6,41500
4,2022,2250,8,26999
52,2007,173452,5,7100
21,2022,18000,8,45000
13,2016,29719,6,16995
25,2015,67800,6,19900
35,2023,4900,6,93500
25,2016,99915,8,26900
49,2014,98528,6,12950
52,2019,30455,6,41250
26,2010,162000,6,16000
21,2022,27300,8,47500
3,2014,70500,6,17500
26,2017,29720,8,39900
38,2014,69205,5,25221
45,2016,8681,8,52000
16,2013,103748,6,15500
21,2021,38900,8,32500
8,2023,1716,8,142998
10,2021,20500,6,74500
4,2018,65680,6,34500
13,2018,92000,6,36500
35,2011,36670,7,98000
13,2018,75479,6,31450
19,2017,69000,6,65000
54,2015,39000,6,35999
10,2006,178000,4,6500
8,2023,10500,6,21999
21,2009,26000,4,32000
14,2012,116226,6,12000
42,2015,78500,8,45000
35,2020,17500,7,45000
25,2018,51300,8,59995
15,2023,1500,10,74900
25,2019,29500,8,29000
4,2016,74414,8,49900
18,2011,75000,6,17000
4,2015,126500,8,15000
35,2017,69350,6,16000
8,2011,120000,6,22995
8,2010,79000,6,30000
7,2013,72500,6,23999
8,2021,28600,8,54500
3,2012,99700,6,12000
47,1999,175722,6,4000
4,2013,57939,6,18987
8,2016,87501,6,16750
13,2012,123200,6,5995
0,2016,70000,6,29995
4,2020,69205,8,41500
8,2021,2750,8,54900
38,2012,65750,5,22500
25,2016,49799,6,45000
13,2016,54500,6,22500
14,2014,72500,6,24900
21,1996,170000,4,4000
14,2015,170000,6,8750
25,2020,27300,8,50000
13,2016,99700,6,24900
52,2004,149000,4,13000
42,2011,55000,7,29000
8,2016,87500,6,18000
35,2016,18494,7,74900
13,2001,239000,5,4999
4,2018,14000,8,129000
3,2014,96000,8,24500
25,2016,50000,8,43000
8,2015,23500,6,55000
8,2009,145000,4,19500
42,2022,9111,8,44999
53,2011,187141,6,6500
4,2015,14000,6,65000
0,2007,239000,6,5000
0,2007,72865,6,22000
27,2016,155000,6,4500
20,2018,3950,7,68750
13,2022,162000,10,75000
10,2005,150000,4,5230
4,2010,80500,8,25500
45,2020,39800,8,129900
4,2011,99700,6,21990
19,2013,153692,7,7945
25,2019,44486,8,36000
8,2019,75151,6,54000
13,2023,1800,10,44000
7,2013,62500,6,20995
13,2013,160900,6,14500
38,2013,110000,6,15999
4,2017,27965,8,26900
35,2009,16000,6,7750
8,2021,2550,8,99000
4,2020,3077,7,84997
26,2021,17300,6,71000
4,2012,131986,6,6000
13,2019,72865,10,41500
35,2019,13750,9,63900
4,2008,24650,6,55000
4,2016,76465,8,21800
8,2022,10000,6,90000
8,2022,12600,6,30000
35,2017,57250,7,67500
53,2018,87892,6,20900
13,2020,58700,10,54000
8,2021,19200,10,79950
14,2015,140401,6,14995
26,2005,150000,6,5500
13,2010,267850,4,6499
3,2018,6200,8,42000
42,2022,24781,8,41999
25,2023,2800,8,75500
42,2008,119500,6,12995
4,2014,37000,6,75000
4,2015,59500,6,22500
26,2020,27000,8,37900
3,2011,170000,6,6000
25,2015,119000,8,16750
35,2017,56910,7,31000
13,2005,170000,4,5500
52,2013,107000,5,15550
35,2022,11089,9,84500
13,2021,39000,10,92000
8,2016,116500,8,19500
7,2012,69431,6,19500
8,2021,16500,10,52000
23,2016,106000,6,23300
5,2017,71964,8,28825
13,2013,111850,6,26500
21,2022,13000,8,65500
42,2023,1090,8,105500
26,2007,123815,5,11500
42,2019,18494,8,134900
13,2018,103400,6,18500
52,2018,28000,6,47000
20,2018,40000,8,47000
8,2020,5400,8,175000
52,2006,151896,5,16900
13,2017,57300,6,48000
13,2004,145000,5,4200
8,2009,110000,6,12900
52,2008,118000,4,12500
25,2016,60000,6,39900
4,2011,122141,8,14000
8,2016,49000,6,12950
52,2020,50000,6,55000
25,2012,92080,6,12000
33,2015,112000,6,11500
4,2020,40000,6,55000
49,2010,111000,6,15000
38,2005,117000,6,46000
3,2013,61258,7,51000
4,2017,53500,7,24700
25,2020,2925,8,93999
7,2020,44000,6,131999
4,2008,127273,6,11500
4,2018,49626,6,29500
3,2015,50340,8,17500
4,2011,11938,7,23105
33,2003,123600,5,4300
21,2017,40000,6,59000
27,2017,52284,6,23500
35,2013,73000,7,18000
26,2008,140800,5,28000
13,2016,35900,6,19500
53,1995,220000,6,2000
35,2019,74381,9,35000
12,2016,12300,7,21000
19,2014,67000,7,30000
52,2018,74000,6,34500
13,2009,152520,6,12900
26,2022,2533,6,49999
35,2018,51354,7,53000
2,2016,12118,8,110000
25,2020,52300,8,28900
5,2020,28500,8,29000
13,2018,74582,10,26000
25,2018,45468,8,35000
16,2019,53401,6,42500
42,2016,45000,6,41400
19,2019,49814,8,45023
31,2016,48000,8,25500
8,2005,155000,6,8500
53,2018,54000,6,39000
4,2017,36000,6,25000
4,2014,69750,6,17999
26,2011,156875,8,9000
42,2013,124000,8,25999
4,2019,14993,8,63995
25,2017,57500,8,34600
52,2021,40000,6,42000
42,2014,27300,7,22800
13,2021,19000,8,68900
13,2019,63875,10,23000
19,2019,49500,7,27350
7,2019,30200,6,139500
8,2023,22000,6,63500
52,2016,86000,5,21500
35,2016,91700,7,151900
0,2013,185963,6,22000
19,2014,84900,7,34999
4,2022,13300,8,82500
13,2021,53433,10,36500
0,2012,70773,6,13750
3,2019,53900,8,38000
4,2020,19600,7,55000
31,2005,50000,6,32500
13,2023,17000,10,3500
7,2023,10500,10,55500
27,2022,115,10,29999
35,2017,90000,7,75000
4,2015,30450,6,41500
14,2017,17500,8,60000
35,2018,14993,9,55500
25,2020,65019,8,37000
16,2008,107543,6,16500
14,2014,117000,6,12000
21,2017,45000,6,15000
54,2019,62000,8,25500
42,2016,121525,8,34700
35,2018,51808,7,46787
35,2015,72500,9,29000
26,1999,82000,6,17500
35,2011,202000,7,9000
13,2012,157530,6,10800
35,2018,73043,9,36990
8,2022,9275,6,29999
35,2019,36000,8,72950
19,2013,118000,6,15900
53,2016,78112,5,16000
26,2007,152000,6,9995
35,2021,23292,8,53500
7,2011,123000,6,12490
7,2015,68000,8,21500
3,2017,63400,8,55000
15,2022,11650,8,54999
27,2017,37100,6,26500
26,2023,1885,10,179000
27,2019,47800,10,27500
4,2021,18000,6,70000
3,2016,70500,8,21000
35,2015,91843,7,8500
18,2010,76000,6,18500
13,2020,23292,10,32000
27,2017,68425,6,26500
38,2009,106000,6,14000
35,2022,18069,8,75000
3,2015,76500,6,24840
8,2020,7089,6,288900
3,2016,137333,8,22000
7,2015,119950,8,20900
8,2023,3000,8,29999
3,2019,23350,8,44800
35,2024,22480,6,130000
49,2016,102000,6,15000
8,2021,38000,8,145000
13,2009,138700,5,7000
4,2017,46000,6,36995
35,2021,28000,6,62000
13,2001,130000,4,3000
13,2018,52284,6,32500
21,2020,53850,8,29995
30,2011,87092,6,10900
14,2017,96000,6,36000
35,2016,83765,7,22000
4,2015,19300,7,69000
4,2011,130000,6,9850
8,2020,55000,10,46000
35,2018,74595,7,30500
43,2012,140401,6,12900
52,2005,170000,5,26450
8,2022,6200,8,62500
19,2016,20200,7,20000
35,2018,32000,9,38000
13,2017,160000,6,24000
7,2019,69100,8,46750
13,2010,48613,6,49599
35,2017,16900,7,299000
52,2012,97615,6,15400
52,2011,96680,6,10600
35,2019,41500,9,41000
35,2014,2978,6,76000
13,2020,14993,10,54900
42,2022,1090,8,119999
4,2014,99999,6,11498
9,2012,87000,6,7900
21,2001,95428,5,7500
14,2011,116210,6,19600
25,2014,64517,8,44850
26,2016,67550,6,22000
33,2018,40000,6,60200
13,2013,102750,6,11000
26,2014,95500,6,23000
35,2014,76500,7,15999
8,2012,125800,6,11500
9,2005,70000,5,6000
13,2006,44168,6,35999
26,2008,149460,6,12000
0,2007,150000,6,11800
8,2013,119000,6,15500
13,2017,94634,6,26000
4,2016,90360,8,15995
43,2021,6640,8,41000
4,2021,18200,6,60000
43,2011,141800,6,7000
4,2002,69764,6,19000
8,2006,94000,6,16500
26,2020,16648,8,53900
21,2022,8794,8,54000
8,2019,41500,8,39900
0,2007,184421,5,9999
52,2017,85000,6,27500
35,2018,4590,6,67500
4,2004,177702,5,9950
35,2017,57700,7,70250
4,2019,30450,7,49500
42,2008,67000,5,23000
52,2018,79635,6,26500
4,2016,39750,6,21995
4,2015,149800,8,15500
19,2022,2900,7,70000
13,2010,156856,4,10998
35,2001,93000,6,8500
26,2023,22400,10,89000
4,2023,6483,8,135800
8,2017,148000,6,32850
42,2023,8681,8,144664
53,2016,97579,6,10000
13,2022,1889,6,33000
25,2020,23600,8,99000
53,2007,1408,6,29000
25,2023,1500,7,74900
8,2012,113500,6,27750
0,2004,134000,4,6300
3,2022,6046,8,49500
38,2012,85766,5,16000
13,2019,69422,10,38500
14,2021,24900,10,51000
30,2007,124542,5,6900
35,2023,535,6,59500
7,2017,63875,8,21000
26,2009,120000,6,4500
